ID,Sp_bin,Area,Genus,Species,Location,Cat5
1,Aeromys tephromelas,362086.7106,Aeromys,tephromelas,Sunda,Sunda
2,Arctogalidia trivirgata,2497555.912,Arctogalidia,trivirgata,Both,Both
3,Arctonyx collaris,5509687.534,Arctonyx,collaris,Indochina,Indochina
4,Atherurus macrourus,2671966.82,Atherurus,macrourus,Indochina,Indochina
5,Axis porcinus,362969.2467,Axis,porcinus,Indochina,TrueIndo
6,Bandicota indica,5516151.908,Bandicota,indica,Indochina,Indochina
7,Bandicota savilei,866565.1344,Bandicota,savilei,Indochina,Indochina
8,Belomys pearsonii,525677.9389,Belomys,pearsonii,Indochina,Indochina
9,Berylmys berdmorei,660819.551,Berylmys,berdmorei,Indochina,Indochina
10,Berylmys bowersi,2558114.023,Berylmys,bowersi,Indochina,Indochina
11,Bos gaurus,1370018.421,Bos,gaurus,Indochina,Indochina
12,Callosciurus caniceps,650682.8247,Callosciurus,caniceps,Indochina,Indochina
13,Callosciurus erythraeus,4073576.187,Callosciurus,erythraeus,Indochina,Indochina
14,Callosciurus finlaysonii,730176.6893,Callosciurus,finlaysonii,Indochina,Indochina
15,Callosciurus nigrovittatus,708578.7715,Callosciurus,nigrovittatus,Sunda,Sunda
16,Callosciurus notatus,1496325.891,Callosciurus,notatus,Sunda,Sunda
17,Callosciurus prevostii,1334755.03,Callosciurus,prevostii,Sunda,Sunda
18,Canis aureus,27114293.05,Canis,aureus,Indochina,Indochina
19,Cannomys badius,1043825.118,Cannomys,badius,Indochina,TrueIndo
20,Capricornis milneedwardsii,2922811.45,Capricornis,milneedwardsii,Indochina,Indochina
21,Capricornis sumatraensis,135077.8942,Capricornis,sumatraensis,Sunda,Sunda
22,Catopuma temminckii,1633718.082,Catopuma,temminckii,Both,Both
23,Chiromyscus chiropus,426711.3379,Chiromyscus,chiropus,Indochina,Indochina
24,Crocidura attenuata,5024712.341,Crocidura,attenuata,Indochina,Indochina
25,Crocidura fuliginosa,2850737.852,Crocidura,fuliginosa,Indochina,Indochina
26,Crocidura indochinensis,667766.9827,Crocidura,indochinensis,Indochina,Indochina
27,Crocidura lepidura,232052.296,Crocidura,lepidura,Sunda,TrueSunda
28,Crocidura monticola,1393961.666,Crocidura,monticola,Sunda,Sunda
29,Crocidura negligens,196763.2957,Crocidura,negligens,Sunda,Sunda
30,Crocidura vorax,1239446.953,Crocidura,vorax,Indochina,TrueIndo
31,Cuon alpinus,10177355.09,Cuon,alpinus,Both,Both
32,Cynogale bennettii,1111412.08,Cynogale,bennettii,Sunda,Sunda
33,Dendrogale murina,204371.2742,Dendrogale,murina,Indochina,Indochina
34,Dremomys rufigenis,1600205.298,Dremomys,rufigenis,Indochina,Indochina
35,Echinosorex gymnura,1373927.272,Echinosorex,gymnura,Sunda,Sunda
36,Elephas maximus,620723.2021,Elephas,maximus,Both,Both
37,Episoriculus leucops,236570.5558,Episoriculus,leucops,Indochina,TrueIndo
38,Felis chaus,7018069.661,Felis,chaus,Indochina,Indochina
39,Galeopterus variegatus,1410932.529,Galeopterus,variegatus,Sunda,Sunda
40,Hapalomys delacouri,388116.1795,Hapalomys,delacouri,Indochina,Indochina
41,Hemigalus derbyanus,1362229.424,Hemigalus,derbyanus,Sunda,Sunda
42,Herpestes brachyurus,1285476.106,Herpestes,brachyurus,Sunda,Sunda
43,Herpestes urva,4028339.809,Herpestes,urva,Indochina,Indochina
44,Hylobates agilis,385727.3926,Hylobates,agilis,Sunda,TrueSunda
45,Hylobates albibarbis,199695,Hylobates,albibarbis,Sunda,TrueSunda
46,Hylobates lar,638111.9438,Hylobates,lar,Indochina,Indochina
47,Hylobates muelleri,525140.4425,Hylobates,muelleri,Sunda,TrueSunda
48,Hylomys suillus,1634250.188,Hylomys,suillus,Both,Both
49,Hylopetes alboniger,1398957.392,Hylopetes,alboniger,Indochina,Indochina
50,Hylopetes platyurus,527206.0922,Hylopetes,platyurus,Sunda,TrueSunda
51,Hystrix sumatrae,429467.7433,Hystrix,sumatrae,Sunda,Sunda
52,Iomys horsfieldii,806686.5133,Iomys,horsfieldii,Sunda,Sunda
53,Lariscus insignis,1276284.399,Lariscus,insignis,Sunda,Sunda
54,Lenothrix canus,238785.1186,Lenothrix,canus,Sunda,Sunda
55,Leopoldamys ciliatus,199687.8456,Leopoldamys,ciliatus,Sunda,Sunda
